name,description,path,currency_base,currency_profit,digits,point,spread,trade_contract_size,volume_min,volume_max,swap_long,swap_short,margin_initial,visible
BCHUSD!,Bitcoin Cash vs US Dollar,CryptoCcy\Crypto Majors!\BCHUSD!,BCH,USD,3,0.001,0,1.0,0.01,10000.0,-475.85,-475.85,0.0,False
BTCUSD!,BitCoin vs US Dollar,CryptoCcy\Crypto Majors!\BTCUSD!,BTC,USD,3,0.001,20623,1.0,0.01,1000.0,-80036.45,-80036.45,0.0,True
CRVUSD!,Curve VS US Dollar,CryptoCcy\Crypto Majors!\CRVUSD!,CRV,USD,3,0.001,0,1.0,0.01,1000.0,-10.24,-10.24,0.0,False
DOGUSD!,Dogecoin vs US Dollar,CryptoCcy\Crypto Majors!\DOGUSD!,DOG,USD,5,1e-05,0,1.0,0.01,100000.0,-30.53,-30.53,0.0,False
DOTUSD!,Polkadot vs US Dollar,CryptoCcy\Crypto Majors!\DOTUSD!,DOT,USD,3,0.001,0,1.0,0.01,10000.0,-30.3,-30.3,0.0,False
DSHUSD!,DashCoin vs US Dollar,CryptoCcy\Crypto Majors!\DSHUSD!,DSH,USD,3,0.001,0,1.0,0.01,1000.0,-65.94,-65.94,0.0,False
ETCUSD!,Ethereum Classic vs US Dollar,CryptoCcy\Crypto Majors!\ETCUSD!,ETC,USD,3,0.001,0,1.0,0.01,1000.0,-65.47,-65.47,0.0,False
ETHUSD!,Ethereum vs US Dollar,CryptoCcy\Crypto Majors!\ETHUSD!,ETH,USD,3,0.001,2780,1.0,0.01,1000.0,-4581.76,-4581.76,0.0,True
FILUSD!,Filecoin vs US Dollar,CryptoCcy\Crypto Majors!\FILUSD!,FIL,USD,2,0.01,0,1.0,0.01,1000.0,-6.8100000000000005,-6.8100000000000005,0.0,False
INCUSD!,1inch VS US Dollar,CryptoCcy\Crypto Majors!\INCUSD!,INC,USD,4,0.0001,0,1.0,0.01,1000.0,-22.6,-22.6,0.0,False
IOTUSD!,IOTA vs US Dollar,CryptoCcy\Crypto Majors!\IOTUSD!,IOT,USD,4,0.0001,0,1.0,0.01,1000.0,-28.41,-28.41,0.0,False
LNKUSD!,Chainlink vs US Dollar,CryptoCcy\Crypto Majors!\LNKUSD!,LNK,USD,5,1e-05,0,1.0,0.01,10000.0,-3326.35,-3326.35,0.0,False
